SBA Disaster Loan Data,,,,,,,Report Run Date:  12/1/2017 ,,,,,,
,,,,,,,Report Run Time:   3:09:56PM,,,,,,
Reporting Period:  10/01/2016 - 09/30/2017,,,,,,,,,,,,,
Declaration Type(s):  'ALL',,,,,,,,,,,,,
SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
14911,14912,4285,NC-00081,COLERAIN,27924,BERTIE,NC,"179,958.00","126,908.00","53,050.00","68,200.00","55,800.00","12,400.00"
14911,14912,4285,NC-00081,COLERAIN,27924,HERTFORD,NC,"10,000.00",0.00,"10,000.00","5,000.00",0.00,"5,000.00"
14911,14912,4285,NC-00081,COLUMBIA,27925,TYRRELL,NC,"933,543.00","692,933.00","240,610.00","115,300.00","68,700.00","46,600.00"
14911,14912,4285,NC-00081,CORAPEAKE,27926,GATES,NC,"31,950.00","31,950.00",0.00,"16,000.00","16,000.00",0.00
14911,14912,4285,NC-00081,COROLLA,27927,CURRITUCK,NC,"65,475.00","55,325.00","10,150.00","35,100.00","33,700.00","1,400.00"
14911,14912,4285,NC-00081,COUNCIL,28434,BLADEN,NC,"36,903.00","31,903.00","5,000.00","26,000.00","21,000.00","5,000.00"
14911,14912,4285,NC-00081,COVE CITY,28523,CRAVEN,NC,"8,700.00",0.00,"8,700.00","8,700.00",0.00,"8,700.00"
14911,14912,4285,NC-00081,CRESWELL,27928,WASHINGTON,NC,"87,063.00","41,363.00","45,700.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,CURRIE,28435,PENDER,NC,"2,282,868.00","1,598,053.00","684,815.00","852,400.00","633,300.00","219,100.00"
14911,14912,4285,NC-00081,CURRITUCK,27929,CURRITUCK,NC,"238,977.00","235,227.00","3,750.00","185,900.00","182,100.00","3,800.00"
14911,14912,4285,NC-00081,DEEP RUN,28525,LENOIR,NC,"82,669.00","72,054.00","10,615.00","78,500.00","67,800.00","10,700.00"
14911,14912,4285,NC-00081,DELCO,28436,COLUMBUS,NC,"74,983.00","52,103.00","22,880.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,DOVER,28526,CRAVEN,NC,"197,656.00","150,156.00","47,500.00","161,900.00","121,900.00","40,000.00"
14911,14912,4285,NC-00081,DOVER,28526,LENOIR,NC,"25,587.00","21,837.00","3,750.00","9,700.00","8,900.00",800.00
14911,14912,4285,NC-00081,DUBLIN,28332,BLADEN,NC,"19,187.00","17,487.00","1,700.00","18,000.00","17,500.00",500.00
14911,14912,4285,NC-00081,DUDLEY,28333,WAYNE,NC,"956,051.00","758,621.00","197,430.00","527,600.00","394,700.00","66,800.00"
14911,14912,4285,NC-00081,DUNN,28334,HARNETT,NC,"619,080.00","555,411.00","63,669.00","433,200.00","395,200.00","38,000.00"
14911,14912,4285,NC-00081,DUNN,28334,SAMPSON,NC,"38,557.00","33,557.00","5,000.00","25,000.00","20,000.00","5,000.00"
14911,14912,4285,NC-00081,EAST FAYETTEVILLE,28301,CUMBERLAND,NC,"25,065.00",0.00,"25,065.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,EAST LAKE,27953,DARE,NC,630.00,630.00,0.00,0.00,0.00,0.00
14911,14912,4285,NC-00081,EASTOVER,28312,CUMBERLAND,NC,"1,612,046.00","1,001,646.00","610,400.00","1,141,500.00","802,500.00","339,000.00"
14911,14912,4285,NC-00081,EDENTON,27932,CHOWAN,NC,"222,803.00","210,358.00","12,445.00","86,600.00","85,100.00","1,500.00"
14911,14912,4285,NC-00081,ELIZABETH CITY,27909,PASQUOTANK,NC,"823,319.00","590,059.00","233,260.00","416,800.00","343,600.00","73,200.00"
14911,14912,4285,NC-00081,ELIZABETH CTY,27909,PASQUOTANK,NC,"18,089.00","18,089.00",0.00,0.00,0.00,0.00
14911,14912,4285,NC-00081,ELIZABETHTOWN,28337,BLADEN,NC,"582,256.00","374,326.00","207,930.00","211,300.00","146,900.00","64,400.00"
14911,14912,4285,NC-00081,ELLERBE,28338,RICHMOND,NC,"19,071.00","19,071.00",0.00,"7,400.00","7,400.00",0.00
14911,14912,4285,NC-00081,ELM CITY,27822,EDGECOMBE,NC,"63,170.00",0.00,"63,170.00","62,500.00",0.00,"62,500.00"
14911,14912,4285,NC-00081,ELM CITY,27822,NASH,NC,"17,537.00","17,537.00",0.00,"9,700.00","9,700.00",0.00
14911,14912,4285,NC-00081,ELM CITY,27822,WILSON,NC,"16,700.00","16,700.00",0.00,"16,200.00","16,200.00",0.00
14911,14912,4285,NC-00081,ENFIELD,27823,HALIFAX,NC,"133,853.00","104,003.00","29,850.00","48,100.00","47,600.00",500.00
14911,14912,4285,NC-00081,ERWIN,28339,HARNETT,NC,"474,927.00","332,582.00","142,345.00","180,400.00","139,800.00","40,600.00"
14911,14912,4285,NC-00081,EURE,27935,GATES,NC,"23,716.00","22,316.00","1,400.00","22,700.00","21,300.00","1,400.00"
14911,14912,4285,NC-00081,EVERGREEN,28438,COLUMBUS,NC,"116,799.00","86,864.00","29,935.00","76,200.00","51,400.00","24,800.00"
14911,14912,4285,NC-00081,FAIR BLUFF,28439,COLUMBUS,NC,"2,249,393.00","1,631,068.00","618,325.00","1,094,800.00","858,000.00","236,800.00"
14911,14912,4285,NC-00081,FAIRFIELD,27826,TYRRELL,NC,"63,424.00","56,974.00","6,450.00","16,800.00","13,500.00","3,300.00"
14911,14912,4285,NC-00081,FAIRMONT,28340,ROBESON,NC,"1,141,272.00","884,986.00","256,286.00","671,500.00","568,200.00","103,300.00"
14911,14912,4285,NC-00081,FAISON,28341,DUPLIN,NC,"113,216.00","99,816.00","13,400.00","35,000.00","34,800.00",200.00
14911,14912,4285,NC-00081,FAISON,28341,SAMPSON,NC,"61,460.00","56,460.00","5,000.00","23,200.00","23,200.00",0.00
