Zip Code,Location,City,Avg. Income/H/hold
34761,"28.573013, -81.530621","Ocoee, Florida","$51,080.00"
33767,"27.978909, -82.826932","Clearwater Beach, Florida","$51,069.00"
32606,"29.682004, -82.444096","Gainesville, Florida","$50,963.00"
33180,"25.963293, -80.143486","Miami, Florida","$50,740.00"
33301,"26.121311, -80.128130","Fort Lauderdale, Florida","$50,706.00"
33306,"26.165314, -80.113599","Fort Lauderdale, Florida","$50,536.00"
33140,"25.817867, -80.131859","Miami Beach, Florida","$50,517.00"
32712,"28.746349, -81.519197","Apopka, Florida","$50,410.00"
34235,"27.362943, -82.474460","Sarasota, Florida","$50,396.00"
32835,"28.528310, -81.481835","Orlando, Florida","$50,389.00"
32950,"27.964857, -80.581757","Malabar, Florida","$50,313.00"
32432,"30.715627, -85.076759","Cypress, Florida","$50,313.00"
33175,"25.733595, -80.412183","Miami, Florida","$50,194.00"
32065,"30.137126, -81.777968","Orange Park, Florida","$50,192.00"
32968,"27.584137, -80.508728","Vero Beach, Florida","$50,138.00"
34737,"28.703876, -81.810247","Howey In The Hills, Florida","$50,128.00"
33618,"28.081826, -82.491994","Tampa, Florida","$49,843.00"
33410,"26.851011, -80.088827","Palm Beach Gardens, Florida","$49,840.00"
34695,"28.010328, -82.698777","Safety Harbor, Florida","$49,760.00"
34756,"28.587966, -81.682497","Montverde, Florida","$49,500.00"
33606,"27.941512, -82.474989","Tampa, Florida","$49,291.00"
32952,"28.341431, -80.687719","Merritt Island, Florida","$49,229.00"
33914,"26.568280, -82.012164","Cape Coral, Florida","$49,148.00"
33316,"26.092913, -80.124368","Fort Lauderdale, Florida","$48,994.00"
33432,"26.343902, -80.082735","Boca Raton, Florida","$48,920.00"
34711,"28.501573, -81.754897","Clermont, Florida","$48,690.00"
32653,"29.751984, -82.434575","Gainesville, Florida","$48,569.00"
32937,"28.175125, -80.600117","Satellite Beach, Florida","$48,493.00"
32257,"30.195058, -81.598950","Jacksonville, Florida","$48,452.00"
33785,"27.901619, -82.844659","Indian Rocks Beach, Florida","$48,225.00"
32250,"30.280508, -81.412032","Jacksonville Beach, Florida","$48,157.00"
33547,"27.746526, -82.151164","Lithia, Florida","$47,907.00"
33413,"26.667538, -80.153545","West Palm Beach, Florida","$47,813.00"
34233,"27.284300, -82.473077","Sarasota, Florida","$47,811.00"
34986,"27.328003, -80.407396","Port Saint Lucie, Florida","$47,744.00"
33944,"26.968973, -81.282403","Palmdale, Florida","$47,563.00"
32444,"30.236752, -85.643687","Lynn Haven, Florida","$47,393.00"
33157,"25.606126, -80.343496","Miami, Florida","$47,332.00"
33019,"26.026605, -80.123616","Hollywood, Florida","$47,324.00"
34772,"28.163054, -81.288832","Saint Cloud, Florida","$47,035.00"
33434,"26.382712, -80.167138","Boca Raton, Florida","$46,992.00"
33991,"26.646443, -82.032561","Cape Coral, Florida","$46,958.00"
33635,"28.025839, -82.607755","Tampa, Florida","$46,882.00"
33308,"26.189643, -80.109037","Fort Lauderdale, Florida","$46,841.00"
33324,"26.109333, -80.271686","Fort Lauderdale, Florida","$46,718.00"
32068,"30.089944, -81.876167","Middleburg, Florida","$46,706.00"
33177,"25.597827, -80.403707","Miami, Florida","$46,699.00"
32736,"28.916703, -81.490270","Eustis, Florida","$46,571.00"
32825,"28.509844, -81.202534","Orlando, Florida","$46,519.00"
32955,"28.281582, -80.790202","Rockledge, Florida","$46,276.00"
34771,"28.237601, -81.107160","Saint Cloud, Florida","$46,209.00"
33569,"27.828651, -82.306300","Riverview, Florida","$46,197.00"
32817,"28.592189, -81.245635","Orlando, Florida","$46,087.00"
32821,"28.369525, -81.473162","Orlando, Florida","$46,034.00"
33035,"25.453959, -80.440556","Homestead, Florida","$45,905.00"
32789,"28.599974, -81.355857","Winter Park, Florida","$45,795.00"
32824,"28.384712, -81.335254","Orlando, Florida","$45,787.00"
33025,"25.988210, -80.281374","Hollywood, Florida","$45,761.00"
33884,"27.984096, -81.678696","Winter Haven, Florida","$45,689.00"
32277,"30.367766, -81.588286","Jacksonville, Florida","$45,670.00"
33954,"27.027575, -82.123213","Port Charlotte, Florida","$45,637.00"
32934,"28.142586, -80.696393","Melbourne, Florida","$45,612.00"
33704,"27.796269, -82.633754","Saint Petersburg, Florida","$45,541.00"
32732,"28.750367, -81.102337","Geneva, Florida","$45,503.00"
34286,"27.144375, -82.197717","North Port, Florida","$45,469.00"
32061,"30.093253, -82.516738","Lulu, Florida","$45,469.00"
32256,"30.172065, -81.471940","Jacksonville, Florida","$45,460.00"
32009,"30.406194, -81.959056","Bryceville, Florida","$45,359.00"
33993,"26.690126, -82.025928","Cape Coral, Florida","$45,302.00"
33706,"27.742877, -82.752958","Saint Petersburg, Florida","$45,252.00"
